Gmt time,Open,High,Low,Close,Volume
04.04.2018 18:15:00.000,106.650,106.755,106.644,106.741,2771.7700000000004
04.04.2018 18:30:00.000,106.741,106.799,106.712,106.759,2577.03
04.04.2018 18:45:00.000,106.758,106.762,106.695,106.741,2367.7
04.04.2018 19:00:00.000,106.739,106.746,106.680,106.683,1625.52
04.04.2018 19:15:00.000,106.683,106.755,106.680,106.752,2187.5099999999998
04.04.2018 19:30:00.000,106.752,106.820,106.734,106.780,2310.5299999999997
04.04.2018 19:45:00.000,106.783,106.822,106.783,106.796,2353.0600000000004
04.04.2018 20:00:00.000,106.796,106.846,106.789,106.837,907.3199999999998
04.04.2018 20:15:00.000,106.837,106.846,106.815,106.826,685.1099999999999
04.04.2018 20:30:00.000,106.826,106.833,106.797,106.804,559.04
04.04.2018 20:45:00.000,106.805,106.823,106.756,106.773,539.4300000000001
04.04.2018 21:00:00.000,106.772,106.774,106.732,106.742,1331.06
04.04.2018 21:15:00.000,106.745,106.766,106.735,106.742,1289.2100000000003
04.04.2018 21:30:00.000,106.742,106.747,106.720,106.733,2096.57
04.04.2018 21:45:00.000,106.733,106.769,106.731,106.760,709.23
04.04.2018 22:00:00.000,106.759,106.811,106.749,106.780,717.8299999999999
04.04.2018 22:15:00.000,106.781,106.781,106.735,106.751,317.2
04.04.2018 22:30:00.000,106.749,106.774,106.729,106.748,353.8300000000001
04.04.2018 22:45:00.000,106.748,106.786,106.743,106.780,320.83
04.04.2018 23:00:00.000,106.780,106.796,106.741,106.769,664.11
04.04.2018 23:15:00.000,106.768,106.777,106.745,106.764,385.7200000000001
04.04.2018 23:30:00.000,106.763,106.769,106.746,106.752,444.01000000000005
04.04.2018 23:45:00.000,106.753,106.804,106.745,106.785,1441.21
05.04.2018 00:00:00.000,106.789,106.847,106.779,106.842,2318.3399999999997
05.04.2018 00:15:00.000,106.844,106.849,106.759,106.775,2212.72
05.04.2018 00:30:00.000,106.775,106.826,106.739,106.739,2036.9099999999999
05.04.2018 00:45:00.000,106.739,106.877,106.710,106.867,2646.68
05.04.2018 01:00:00.000,106.864,106.871,106.776,106.782,2579.3099999999995
05.04.2018 01:15:00.000,106.782,106.879,106.779,106.873,2172.73
05.04.2018 01:30:00.000,106.873,106.915,106.843,106.883,1702.0600000000004
05.04.2018 01:45:00.000,106.884,106.972,106.871,106.960,2465.4599999999996
05.04.2018 02:00:00.000,106.959,106.987,106.930,106.932,1775.4799999999998
05.04.2018 02:15:00.000,106.932,106.955,106.899,106.914,1642.9099999999999
05.04.2018 02:30:00.000,106.914,106.977,106.914,106.960,1190.3599999999997
05.04.2018 02:45:00.000,106.961,106.978,106.952,106.975,920.49
05.04.2018 03:00:00.000,106.975,106.992,106.956,106.968,872.45
05.04.2018 03:15:00.000,106.967,106.968,106.921,106.950,1055.6100000000001
05.04.2018 03:30:00.000,106.948,106.966,106.906,106.924,1052.23
05.04.2018 03:45:00.000,106.924,106.936,106.899,106.919,1760.57
05.04.2018 04:00:00.000,106.919,106.984,106.918,106.958,1567.73
05.04.2018 04:15:00.000,106.957,107.023,106.956,106.970,1834.8999999999999
05.04.2018 04:30:00.000,106.970,106.992,106.902,106.950,1422.2400000000002
05.04.2018 04:45:00.000,106.950,106.951,106.916,106.936,1145.21
05.04.2018 05:00:00.000,106.936,106.941,106.894,106.906,1193.7199999999998
05.04.2018 05:15:00.000,106.905,106.917,106.889,106.912,900.31
05.04.2018 05:30:00.000,106.912,106.945,106.832,106.847,1848.0199999999998
05.04.2018 05:45:00.000,106.848,106.923,106.837,106.898,1980.5000000000002
05.04.2018 06:00:00.000,106.898,106.944,106.866,106.942,1993.4400000000003
05.04.2018 06:15:00.000,106.942,106.974,106.922,106.971,1670.2799999999997
05.04.2018 06:30:00.000,106.971,107.079,106.955,107.059,2253.35
05.04.2018 06:45:00.000,107.059,107.086,107.031,107.057,1950.8299999999997
05.04.2018 07:00:00.000,107.057,107.130,107.053,107.102,2010.2199999999998
05.04.2018 07:15:00.000,107.102,107.152,107.081,107.090,2150.3
05.04.2018 07:30:00.000,107.089,107.143,107.078,107.122,2761.2
05.04.2018 07:45:00.000,107.120,107.129,107.056,107.056,1946.8899999999999
05.04.2018 08:00:00.000,107.057,107.075,107.028,107.050,2297.6800000000003
05.04.2018 08:15:00.000,107.049,107.081,107.039,107.072,1670.73
05.04.2018 08:30:00.000,107.072,107.110,107.069,107.088,1471.98
05.04.2018 08:45:00.000,107.088,107.143,107.068,107.115,1824.3800000000003
05.04.2018 09:00:00.000,107.115,107.127,107.091,107.102,1822.93
